#
# 倉頡五代構詞碼
#
# 碼表由惜緣兄製作
# 佛振修訂於 2012-04-08
#
# License: GPL
#
# 說明：
# 詞彙編碼中，單字的取碼有幾種情況：
# 取首碼、取尾碼、取首尾二碼、取首、次、尾三碼。
# 輔助字形中的單字，在詞彙中直接用倉頡字母而不拆開；
# 包含結構的單字，被包含部分的編碼位於'符號之後，可據此取得尾碼。
#
○	xxxxx
一	m
丁	mn
丂	mvs
七	p
万	ms
丈	jk
三	mmm
上	ym
下	my
丌	ml
不	mf
与	ysm
丏	mlvs
丐	myvs
丑	ng
丒	skm
专	qni
且	bm
丕	mfm
世	pt
丗	tj
丘	om
丙	mob
业	tc
丛	oom
东	kd
丝	vvm
丞	nem
丟	mgi
丠	lpm
両	mub
丢	hgi
丣	mlls
两	moob
严	mtch
並	ttc
丧	gcv
个	ol
丫	cl
丬	lim
中	l
丮	nq
丯	qj
丰	qj
丱	vlllm
串	ll
丳	llww
临	lloa
丵	tctj
丸	kni
丹	by
为	iks'i
主	yg
丼	tt'i
丽	mbib
丽	mmbib
举	fcq
乂	k
乃	nhs
久	no
乇	hp
么	hi
义	ik
之	ino
乌	pvsm
乍	os
乎	hfd
乏	hino
乐	hvd
乒	omh
乓	omi
乔	hkll
乕	hqb
乖	hjlp
乗	hjtd
乘	hdlp
乙	n
乜	ps
九	kn
乞	on
也	pd
习	sim
乡	vvh
乢	uu
乣	viu
乤	myn
乥	hcn
书	ids
乧	yjn
乨	iru
乩	yru
乪	nw
乫	krn
乬	ssn
乭	mrn
乮	hln
乯	hfdn
买	nyk
乱	hru
乲	ion
乲	mon
乳	bdu
乴	qln
乵	yju
乶	ibn
乷	ehn
乸	pdwy'i
乹	jju
乺	hln
乻	yyn
乼	egn
乽	jan
乾	jjon
乿	bfu
亀	nwlu
亁	jjon
亂	bbu
亃	fqu
亄	gtu
了	nn
予	ninn
争	nsd
亊	jfln
事	jlln
二	mm
亍	mmn
于	md
亏	mmvs
亐	mjs
云	mmi
互	mvnm
亓	mml
五	mdm
井	tt
亖	mmmm
亗	umm
亘	mam
亙	mbm
亚	mtc
些	ypmm
亜	mllm
亝	iiim
亞	mllm
亟	mem
亟	nem
亡	yv
亢	yhn
交	yck
亥	yvho
亦	ylnc
产	yth
亨	yrnn
亩	yw
亪	ycmo
享	yrnd
京	yrf
亭	yrbn
亮	yrbn
亮	yrbu
亯	yra
亰	yaf
亱	yoam
亲	ytd
亳	yrbp
亴	yrbn
亵	yqiv
亶	ywrm
亷	yhxc
亸	ydcwj
亹	yhbm
人	o
亽	oi
亾	vo
亿	on
什	oj
仁	omm
仂	oks
仃	omn
仄	mo
仅	oe
仆	oy
仇	okn
仈	oc
仉	ohn
今	oin
介	oll
仌	oo
仍	onhs
从	oo
仏	oi
仐	oj
仑	op
仒	oy
仓	osu
仔	ond
仕	og
他	opd
仗	ojk
付	odi
仙	ou
仚	ou
仛	ohp
仜	om
仝	om
仞	oshi
仟	ohj
仠	omj
仡	oon
仢	opi
代	oip
令	oini
以	vio
仦	of
仧	ymo
仨	ommm
仩	oym
仪	oik
仫	ohi
们	olis
仭	osk
仮	ohe
仯	ofh
仰	ohvl
仱	ooin
仲	ol
仳	opp
仴	ob
仵	ooj
件	ohq
价	ooll
仸	ohk
仹	oqj
仺	osm
仺	os'm
任	ohg
仼	omg
份	ocsh
仾	omvm
仿	oyhs
伀	oci
企	oylm
伂	ojb
伃	onin
伄	onl
伅	opu
伆	ophh
伇	ohne
伈	op
伉	oyhn
伊	osk
伋	onhe
伌	omsu
伍	omdm
伎	oje
伏	oik
伐	oi
休	od
伒	ohml
伓	omf
伔	obhu
伕	oqo
伖	oke
众	ooo
优	oiku
伙	of
会	ommi
伛	osk
伜	oknj
伝	ommi
伞	ofj
伟	oqs
传	oqni
伡	okq
伢	omvh
伣	obhu
伤	ooks
伥	opo
伦	oop
伧	oosu
伨	opmm
伩	oyk
伪	oiks
伫	ojm
伬	oso
伭	oyvi
伮	ove
伯	oha
估	ojr
伱	oof
伲	osp
伳	opt
伴	ofq
伵	ow'c
伶	ooii
伷	olw
伸	olwl
伹	obm
伺	osmr
伻	omfj
似	ovio
伽	oksr
伾	omfm
伿	orc
佀	orlr
佁	oir
佂	omym
佃	ow
佄	ot'm
佅	ojd
但	oam
佇	ojmn
佈	oklb
佉	ogi
佊	odhe
佋	oshr
佌	oymp
位	oyt
低	ohpm
低	ohvi
住	oyg
佐	okm
佑	okr
佒	olbk
体	odm
佔	oyr
何	omnr
佖	oph
佗	ojp
佘	ommf
余	omd
佚	ohqo
佛	olln
作	oos
佝	opr
佞	ommv
佟	ohey
你	onf
佡	oou
佢	oss
佣	ob'q
佤	omvn
